46	3.8668	3.8704	3.8401	3.7755	3.7755	3.7752	3.7514	3.7287	3.7489	11.03.2019	3.8403	3.8678	3.8685	3.8342	-0.69	3.8281	3.7895	3.7591	0	0
47	3.8403	3.8668	3.8704	3.8401	3.7755	3.7755	3.7752	3.7514	3.7287	12.03.2019	3.8114	3.8399	3.8445	3.8009	-0.75	3.8341	3.7947	3.7639	0	1
48	3.8114	3.8403	3.8668	3.8704	3.8401	3.7755	3.7755	3.7752	3.7514	13.03.2019	3.8147	3.8113	3.8352	3.7995	0.09	3.8406	3.7999	3.7679	3.7446	1
49	3.8147	3.8114	3.8403	3.8668	3.8704	3.8401	3.7755	3.7755	3.7752	14.03.2019	3.8443	3.8157	3.8556	3.8142	0.78	3.8413	3.8079	3.7727	3.7469	0
50	3.8443	3.8147	3.8114	3.8403	3.8668	3.8704	3.8401	3.7755	3.7755	15.03.2019	3.8144	3.8453	3.8725	3.8081	-0.78	3.8320	3.8150	3.7751	3.7490	0
51	3.8144	3.8443	3.8147	3.8114	3.8403	3.8668	3.8704	3.8401	3.7755	18.03.2019	3.7915	3.8161	3.8277	3.7832	-0.60	3.8194	3.8183	3.7785	3.7513	0
52	3.7915	3.8144	3.8443	3.8147	3.8114	3.8403	3.8668	3.8704	3.8401	19.03.2019	3.7891	3.7912	3.8001	3.7647	-0.06	3.8109	3.8195	3.7799	3.7529	0
53	3.7891	3.7915	3.8144	3.8443	3.8147	3.8114	3.8403	3.8668	3.8704	20.03.2019	3.7763	3.7921	3.7994	3.7386	-0.34	3.8051	3.8196	3.7822	3.7543	1
54	3.7763	3.7891	3.7915	3.8144	3.8443	3.8147	3.8114	3.8403	3.8668	21.03.2019	3.793	3.7761	3.8382	3.7639	0.44	3.8014	3.8210	3.7860	3.7562	1
55	3.793	3.7763	3.7891	3.7915	3.8144	3.8443	3.8147	3.8114	3.8403	22.03.2019	3.9071	3.7928	3.9169	3.7928	3.01	3.8119	3.8266	3.7932	3.7602	0
56	3.9071	3.793	3.7763	3.7891	3.7915	3.8144	3.8443	3.8147	3.8114	25.03.2019	3.8544	3.9047	3.9374	3.8438	-1.35	3.8186	3.8253	3.7986	3.7627	1
57	3.8544	3.9071	3.793	3.7763	3.7891	3.7915	3.8144	3.8443	3.8147	26.03.2019	3.8773	3.8529	3.8794	3.8333	0.59	3.8329	3.8262	3.8049	3.7653	1
58	3.8773	3.8544	3.9071	3.793	3.7763	3.7891	3.7915	3.8144	3.8443	27.03.2019	3.9935	3.8739	4.0019	3.8725	3.00	3.8669	3.8389	3.8142	3.7703	0
59	3.9935	3.8773	3.8544	3.9071	3.793	3.7763	3.7891	3.7915	3.8144	28.03.2019	3.901	3.9927	4.0159	3.8982	-2.32	3.8877	3.8464	3.8205	3.7734	1
60	3.901	3.9935	3.8773	3.8544	3.9071	3.793	3.7763	3.7891	3.7915	29.03.2019	3.9247	3.9016	3.9347	3.8679	0.61	3.9097	3.8556	3.8277	3.7757	0
61	3.9247	3.901	3.9935	3.8773	3.8544	3.9071	3.793	3.7763	3.7891	01.04.2019	3.8518	3.8897	3.8932	3.8492	-1.86	3.9005	3.8562	3.8320	3.7774	1
